Language	FileName	ModelName	Counter	Dependency	Distance_Mean_NoPunct	Distance_Sigma_NoPunct	DH_Sigma_NoPunct	DH_Mean_NoPunct
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	acl	-0.98670983	0.10827541	0.06315189	-0.016824039
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	advcl	1.0986396	0.055763002	0.049344663	1.2378025
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	advmod	0.4315178	-0.027950462	0.11159596	3.9397206
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	amod	-1.5927389	0.021168318	0.1629129	4.7185826
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	aux	-3.346446	0.1859797	0.19285536	-5.3774023
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	case	1.5695764	0.5881205	0.59431636	-0.4066502
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	compound	-3.16478	0.08286811	0.13443138	4.7216883
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	conj	1.4502492	0.25971624	0.3840028	-6.1006694
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	dep	-0.90324426	0.12729321	0.057195302	-1.0767372
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	det	-1.0557566	0.1093343	0.3958312	5.826102
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	dislocated	3.1820345	0.19749707	0.17682768	-2.4481058
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	iobj	0.37741464	0.068673305	0.31162688	4.271437
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	lifted_case	1.4260734	0.4631617	-0.020458627	1.7174602
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	lifted_cc	1.0325218	0.7617484	0.28551832	-5.13915
Urdu	5325281	inferWeightsCrossVariationalAllCorpora_NoPunct_NEWPYTORCH_FuncHead_Coarse.py	1990000	lifted_cop	3.2490926	0.54089135	0.3434154	4.054924
