$Afrikaans: EXCEPTION_INCOMPATIBLE
aux	aux	Afrikaans	word_aux:pass	498	0.845381526104	0.452952952953	# EXCEPTION_COMPATIBLE (this is the passive)
aux	aux	Afrikaans	sal_aux	332	0.0271084337349	0.452952952953
aux	aux	Afrikaans	moet_aux	298	0.104026845638	0.452952952953
aux	aux	Afrikaans	is_aux:pass	246	0.821138211382	0.452952952953	# EXCEPTION_COMPATIBLE (this is the passive)
aux	aux	Afrikaans	het_aux	241	0.734439834025	0.452952952953	# EXCEPTION_INCOMPATIBLE (this is a past auxiliary -- exception)
aux	aux	Afrikaans	kan_aux	186	0.112903225806	0.452952952953
aux	aux	Afrikaans	wil_aux	48	0.0208333333333	0.452952952953
aux	aux	Afrikaans	mag_aux	47	0.0212765957447	0.452952952953
aux	aux	Afrikaans	behoort_aux	22	0.0454545454545	0.452952952953
aux	aux	Afrikaans	gaan_aux	12	0.5	0.452952952953
aux	aux	Afrikaans	laat_aux	12	0.0	0.452952952953
$Ancient Greek: COMPATIBLE (except modal)
aux	aux	Ancient_Greek	εἰμί#1_aux:pass	41	0.390243902439	0.394230769231
aux	aux	Ancient_Greek	εἰμί#1_aux	25	0.28	0.394230769231
aux	aux	Ancient_Greek	ἔχω_aux	12	0.833333333333	0.394230769231 # EXCEPTION_COMPATIBLE (this is a modal: have to)
$Arabic: AGREE
aux	aux	Arabic	s_aux	1500	0.002	0.0126443100605	# all auxiliairies agree
aux	aux	Arabic	lA_1_aux	1409	0.00425833924769	0.0126443100605
aux	aux	Arabic	سَ_aux	881	0.00227014755959	0.0126443100605
aux	aux	Arabic	lamo_1_aux	867	0.00115340253749	0.0126443100605
aux	aux	Arabic	qado_1_aux	644	0.00621118012422	0.0126443100605
aux	aux	Arabic	قَد_aux	344	0.0	0.0126443100605
aux	aux	Arabic	lano_1_aux	302	0.00331125827815	0.0126443100605
aux	aux	Arabic	fiy_1_aux	132	0.0	0.0126443100605
aux	aux	Arabic	mA_2_aux	84	0.0	0.0126443100605
aux	aux	Arabic	l_aux	77	0.0	0.0126443100605
aux	aux	Arabic	halo_1_aux	76	0.0	0.0126443100605
aux	aux	Arabic	min_1_aux	75	0.0	0.0126443100605
aux	aux	Arabic	مَا_aux	69	0.0	0.0126443100605
aux	aux	Arabic	سَوفَ_aux	69	0.0	0.0126443100605
aux	aux	Arabic	k_aux	69	0.0	0.0126443100605
aux	aux	Arabic	lA_aux	63	0.0	0.0126443100605
aux	aux	Arabic	سَ_aux:pass	63	0.0	0.0126443100605
aux	aux	Arabic	b_aux	53	0.0	0.0126443100605
aux	aux	Arabic	<in~amA_1_aux	40	0.0	0.0126443100605
aux	aux	Arabic	إِلَّا_aux	33	0.636363636364	0.0126443100605
aux	aux	Arabic	قَد_aux:pass	30	0.0	0.0126443100605
aux	aux	Arabic	لَيس_aux	27	0.0740740740741	0.0126443100605
aux	aux	Arabic	<ilaY_1_aux	23	0.0	0.0126443100605
aux	aux	Arabic	sawofa_1_aux	19	0.0	0.0126443100605
aux	aux	Arabic	w_aux	18	0.0	0.0126443100605
aux	aux	Arabic	لقد_aux	15	0.0	0.0126443100605
aux	aux	Arabic	هَل_aux	15	0.0	0.0126443100605
aux	aux	Arabic	mA*A_1_aux	14	0.0	0.0126443100605
aux	aux	Arabic	li}al~A_1_aux	13	0.0	0.0126443100605
aux	aux	Arabic	EalaY_1_aux	13	0.0	0.0126443100605
aux	aux	Arabic	بِ_aux	13	1.0	0.0126443100605
$Basque: AGREE
aux	aux	Basque	*edun_aux	4677	0.925165704511	0.914821944177	# all auxiliairies agree
aux	aux	Basque	izan_aux	2895	0.9298791019	0.914821944177
aux	aux	Basque	egin_aux	231	0.987012987013	0.914821944177
aux	aux	Basque	*edin_aux	164	0.993902439024	0.914821944177
aux	aux	Basque	*ezan_aux	158	0.974683544304	0.914821944177
aux	aux	Basque	ari_aux	129	0.0	0.914821944177
aux	aux	Basque	ukan_aux	34	0.735294117647	0.914821944177
$Belarusian: AGREE
aux	aux	Belarusian	быць_aux	23	0.130434782609	0.131578947368	# all auxiliairies agree
aux	aux	Belarusian	быць_aux:pass	14	0.0714285714286	0.131578947368
$Bulgarian AGREE
aux	aux	Bulgarian	да_aux	2673	0.00374111485223	0.0212765957447	# all auxiliairies agree
aux	aux	Bulgarian	ще_aux	1125	0.0142222222222	0.0212765957447
aux	aux	Bulgarian	съм_aux	952	0.0577731092437	0.0212765957447
aux	aux	Bulgarian	съм_aux:pass	656	0.0594512195122	0.0212765957447
aux	aux	Bulgarian	бъда_aux:pass	208	0.0	0.0212765957447
aux	aux	Bulgarian	бъда_aux	21	0.0	0.0212765957447
$Catalan: AGREE
aux	aux	Catalan	haver_aux	6734	0.004455004455	0.011629301043	# all auxiliairies agree
aux	aux	Catalan	anar_aux	6151	0.00617785725898	0.011629301043
aux	aux	Catalan	poder_aux	1139	0.0122914837577	0.011629301043
aux	aux	Catalan	ser_aux	668	0.0149700598802	0.011629301043
aux	aux	Catalan	fer_aux	351	0.017094017094	0.011629301043
aux	aux	Catalan	estar_aux	266	0.00751879699248	0.011629301043
aux	aux	Catalan	tornar_aux	112	0.0	0.011629301043
aux	aux	Catalan	deixar_aux	90	0.0111111111111	0.011629301043
aux	aux	Catalan	començar_aux	88	0.0113636363636	0.011629301043
aux	aux	Catalan	continuar_aux	78	0.0	0.011629301043
aux	aux	Catalan	acabar_aux	60	0.0166666666667	0.011629301043
aux	aux	Catalan	seguir_aux	55	0.0	0.011629301043
aux	aux	Catalan	voler_aux	54	0.0185185185185	0.011629301043
aux	aux	Catalan	arribar_aux	45	0.0444444444444	0.011629301043
aux	aux	Catalan	dir_aux	42	0.0238095238095	0.011629301043
aux	aux	Catalan	intentar_aux	37	0.0	0.011629301043
aux	aux	Catalan	saber_aux	33	0.0	0.011629301043
aux	aux	Catalan	evitar_aux	27	0.0	0.011629301043
aux	aux	Catalan	veure_aux	23	0.0434782608696	0.011629301043
aux	aux	Catalan	aconseguir_aux	21	0.0952380952381	0.011629301043
aux	aux	Catalan	considerar_aux	20	0.0	0.011629301043
aux	aux	Catalan	demostrar_aux	19	0.105263157895	0.011629301043
aux	aux	Catalan	passar_aux	18	0.166666666667	0.011629301043
aux	aux	Catalan	pensar_aux	17	0.0	0.011629301043
aux	aux	Catalan	tenir_aux	17	0.235294117647	0.011629301043
aux	aux	Catalan	mirar_aux	15	0.0666666666667	0.011629301043
aux	aux	Catalan	soler_aux	12	0.0	0.011629301043
aux	aux	Catalan	posar_aux	11	0.0909090909091	0.011629301043
aux	aux	Catalan	entendre_aux	10	0.0	0.011629301043
aux	aux	Catalan	garantir_aux	10	0.1	0.011629301043
$Chinese: AGREE
aux	aux	Chinese	被_aux:pass	372	0.0	0.0	# all auxiliairies agree
aux	aux	Chinese	會_aux	180	0.0	0.0
aux	aux	Chinese	可以_aux	131	0.0	0.0
aux	aux	Chinese	將_aux:caus	121	0.0	0.0
aux	aux	Chinese	可_aux	95	0.0	0.0
aux	aux	Chinese	要_aux	64	0.0	0.0
aux	aux	Chinese	能_aux	63	0.0	0.0
aux	aux	Chinese	把_aux:caus	53	0.0	0.0
aux	aux	Chinese	可能_aux	48	0.0	0.0
aux	aux	Chinese	必須_aux	23	0.0	0.0
aux	aux	Chinese	能夠_aux	22	0.0	0.0
aux	aux	Chinese	不會_aux	22	0.0	0.0
aux	aux	Chinese	不能_aux	19	0.0	0.0
aux	aux	Chinese	想_aux	17	0.0	0.0
aux	aux	Chinese	需要_aux	14	0.0	0.0
aux	aux	Chinese	需_aux	12	0.0	0.0
aux	aux	Chinese	應_aux	11	0.0	0.0
aux	aux	Chinese	為_aux:pass	10	0.0	0.0
$Coptic: AGREE
aux	aux	Coptic	ⲁ_aux	310	0.0	0.0	# all auxiliairies agree
aux	aux	Coptic	ⲛⲁ_aux	84	0.0	0.0
aux	aux	Coptic	ⲛⲧⲉ_aux	74	0.0	0.0
aux	aux	Coptic	ⲛⲧⲉⲣⲉ_aux	33	0.0	0.0
aux	aux	Coptic	ⲙⲡⲉ_aux	31	0.0	0.0
aux	aux	Coptic	ϣⲁⲣⲉ_aux	22	0.0	0.0
aux	aux	Coptic	ϣ_aux	10	0.0	0.0
$Croatian: AGREE (except: particle)
aux	aux	Croatian	biti_aux	5584	0.325573065903	0.291262135922
aux	aux	Croatian	htjeti_aux	1284	0.166666666667	0.291262135922
aux	aux	Croatian	biti_aux:pass	939	0.26517571885	0.291262135922
aux	aux	Croatian	sebe_aux	157	0.299363057325	0.291262135922
aux	aux	Croatian	sebe_aux:pass	13	0.0769230769231	0.291262135922
aux	aux	Croatian	li_aux	11	0.545454545455	0.291262135922	# EXCEPTION_COMPATIBLE (not inflected, this is a particle)
$Czech AGREE
aux	aux	Czech	být_aux	20246	0.154153906945	0.114793941529	# all auxiliairies agree
aux	aux	Czech	být_aux:pass	8040	0.0161691542289	0.114793941529
aux	aux	Czech	bývat_aux:pass	66	0.0151515151515	0.114793941529
aux	aux	Czech	bývat_aux	14	0.0	0.114793941529
$Danish AGREE
aux	aux	Danish	have_aux	772	0.0310880829016	0.0190745319675	# all auxiliairies agree
aux	aux	Danish	kunne_aux	593	0.0101180438449	0.0190745319675
aux	aux	Danish	være_aux	422	0.00473933649289	0.0190745319675
aux	aux	Danish	skulle_aux	342	0.0233918128655	0.0190745319675
aux	aux	Danish	ville_aux	301	0.0199335548173	0.0190745319675
aux	aux	Danish	blive_aux	237	0.0042194092827	0.0190745319675
aux	aux	Danish	måtte_aux	125	0.032	0.0190745319675
aux	aux	Danish	burde_aux	25	0.04	0.0190745319675
aux	aux	Danish	turde_aux	12	0.0	0.0190745319675
$Dutch AGREE
aux	aux	Dutch	worden_aux:pass	2263	0.143172779496	0.107382550336	# all auxiliairies agree
aux	aux	Dutch	hebben_aux	1611	0.0794537554314	0.107382550336
aux	aux	Dutch	zullen_aux	1005	0.089552238806	0.107382550336
aux	aux	Dutch	zijn_aux	810	0.141975308642	0.107382550336
aux	aux	Dutch	zijn_aux:pass	751	0.138482023968	0.107382550336
aux	aux	Dutch	kunnen_aux	733	0.0682128240109	0.107382550336
aux	aux	Dutch	willen_aux	329	0.0425531914894	0.107382550336
aux	aux	Dutch	gaan_aux	172	0.0174418604651	0.107382550336
aux	aux	Dutch	laten_aux	141	0.00709219858156	0.107382550336
aux	aux	Dutch	mogen_aux	129	0.062015503876	0.107382550336
aux	aux	Dutch	blijken_aux	41	0.0487804878049	0.107382550336
aux	aux	Dutch	hoeven_aux	35	0.0285714285714	0.107382550336
aux	aux	Dutch	en_aux:pass	14	1.0	0.107382550336
$English AGREE
aux	aux	English	have_aux	2305	0.00303687635575	0.00584248656228	# all auxiliairies agree
aux	aux	English	be_aux	2214	0.00271002710027	0.00584248656228
aux	aux	English	be_aux:pass	1882	0.0175345377258	0.00584248656228
aux	aux	English	will_aux	1504	0.00531914893617	0.00584248656228
aux	aux	English	do_aux	1273	0.0	0.00584248656228
aux	aux	English	can_aux	1095	0.00365296803653	0.00584248656228
aux	aux	English	would_aux	854	0.00585480093677	0.00584248656228
aux	aux	English	could_aux	424	0.00471698113208	0.00584248656228
aux	aux	English	should_aux	325	0.0123076923077	0.00584248656228
aux	aux	English	may_aux	291	0.00687285223368	0.00584248656228
aux	aux	English	shall_aux	185	0.00540540540541	0.00584248656228
aux	aux	English	must_aux	172	0.00581395348837	0.00584248656228
aux	aux	English	might_aux	106	0.00943396226415	0.00584248656228
aux	aux	English	get_aux:pass	49	0.0	0.00584248656228
aux	aux	English	that_aux	37	0.0	0.00584248656228
aux	aux	English	get_aux	30	0.0	0.00584248656228
aux	aux	English	go_aux	14	0.0	0.00584248656228
$Estonian AGREE
aux	aux	Estonian	olema_aux	1076	0.0362453531599	0.0529750479846	# all auxiliairies agree
aux	aux	Estonian	ei_aux	865	0.0520231213873	0.0529750479846
aux	aux	Estonian	võima_aux	265	0.0528301886792	0.0529750479846
aux	aux	Estonian	pidama_aux	165	0.0787878787879	0.0529750479846
aux	aux	Estonian	saama_aux	101	0.148514851485	0.0529750479846
