$Afrikaans	GERMANIC
xcomp	xcomp	Afrikaans	staat_xcomp	15	1.0	0.931034482759	# TODO seems volition doesn't appear?
xcomp	xcomp	Afrikaans	om_xcomp	15	1.0	0.931034482759
xcomp	xcomp	Afrikaans	poging_xcomp	10	1.0	0.931034482759
$Ancient Greek 	COMPLICATED
xcomp	xcomp	Ancient_Greek	γίγνομαι_xcomp	900	0.34	0.665468057054
xcomp	xcomp	Ancient_Greek	καλέω_xcomp	277	0.429602888087	0.665468057054	# become (not volition)
xcomp	xcomp	Ancient_Greek	δύναμαι_xcomp	274	0.879562043796	0.665468057054	# to be able (not volition)
xcomp	xcomp	Ancient_Greek	ἐθέλω_xcomp	263	0.825095057034	0.665468057054	# volition
xcomp	xcomp	Ancient_Greek	ποιέω_xcomp	226	0.309734513274	0.665468057054	# make, cause (nt volition)
xcomp	xcomp	Ancient_Greek	ὁ_xcomp	218	0.97247706422	0.665468057054
xcomp	xcomp	Ancient_Greek	μέλλω_xcomp	206	0.898058252427	0.665468057054
xcomp	xcomp	Ancient_Greek	ἔχω_xcomp	203	0.5960591133	0.665468057054
xcomp	xcomp	Ancient_Greek	βούλομαι_xcomp	157	0.872611464968	0.665468057054	# volition
xcomp	xcomp	Ancient_Greek	ὁράω_xcomp	148	0.925675675676	0.665468057054
xcomp	xcomp	Ancient_Greek	δοκέω_xcomp	144	0.875	0.665468057054
xcomp	xcomp	Ancient_Greek	λέγω_xcomp	115	0.826086956522	0.665468057054
xcomp	xcomp	Ancient_Greek	ἐγώ_xcomp	101	0.772277227723	0.665468057054
xcomp	xcomp	Ancient_Greek	φημί_xcomp	100	0.88	0.665468057054
xcomp	xcomp	Ancient_Greek	φαίνω_xcomp	89	0.651685393258	0.665468057054
xcomp	xcomp	Ancient_Greek	ἄρχω_xcomp	88	0.988636363636	0.665468057054
xcomp	xcomp	Ancient_Greek	σύ_xcomp	80	0.8875	0.665468057054
xcomp	xcomp	Ancient_Greek	κελεύω_xcomp	77	0.766233766234	0.665468057054
xcomp	xcomp	Ancient_Greek	εὑρίσκω_xcomp	71	0.816901408451	0.665468057054
xcomp	xcomp	Ancient_Greek	τυγχάνω_xcomp	70	0.757142857143	0.665468057054
xcomp	xcomp	Ancient_Greek	ὅς_xcomp	69	0.985507246377	0.665468057054
xcomp	xcomp	Ancient_Greek	δίδωμι_xcomp	61	0.868852459016	0.665468057054
xcomp	xcomp	Ancient_Greek	τίθημι_xcomp	58	0.396551724138	0.665468057054
xcomp	xcomp	Ancient_Greek	πέλω_xcomp	51	0.176470588235	0.665468057054
xcomp	xcomp	Ancient_Greek	ἐάω_xcomp	50	0.7	0.665468057054
xcomp	xcomp	Ancient_Greek	καθίστημι_xcomp	48	0.416666666667	0.665468057054
xcomp	xcomp	Ancient_Greek	ἀκούω_xcomp	46	0.847826086957	0.665468057054
xcomp	xcomp	Ancient_Greek	ὑπάρχω_xcomp	43	0.279069767442	0.665468057054
xcomp	xcomp	Ancient_Greek	πειράω_xcomp	42	0.761904761905	0.665468057054
xcomp	xcomp	Ancient_Greek	οἶδα_xcomp	37	0.837837837838	0.665468057054
xcomp	xcomp	Ancient_Greek	ὀφείλω_xcomp	36	0.861111111111	0.665468057054
xcomp	xcomp	Ancient_Greek	ὀνομάζω_xcomp	36	0.444444444444	0.665468057054
xcomp	xcomp	Ancient_Greek	νομίζω_xcomp	36	0.694444444444	0.665468057054
xcomp	xcomp	Ancient_Greek	τλάω_xcomp	35	0.857142857143	0.665468057054
xcomp	xcomp	Ancient_Greek	ἵστημι_xcomp	34	0.5	0.665468057054
xcomp	xcomp	Ancient_Greek	φύω_xcomp	33	0.272727272727	0.665468057054
xcomp	xcomp	Ancient_Greek	ἔρχομαι_xcomp	32	0.34375	0.665468057054
xcomp	xcomp	Ancient_Greek	ζητέω_xcomp	32	1.0	0.665468057054
xcomp	xcomp	Ancient_Greek	τολμάω_xcomp	32	0.90625	0.665468057054
xcomp	xcomp	Ancient_Greek	ἔξεστι_xcomp	31	0.870967741935	0.665468057054
xcomp	xcomp	Ancient_Greek	βαίνω_xcomp	31	0.774193548387	0.665468057054
xcomp	xcomp	Ancient_Greek	εἰμί_xcomp	29	0.413793103448	0.665468057054
xcomp	xcomp	Ancient_Greek	προστάσσω_xcomp	29	0.896551724138	0.665468057054
xcomp	xcomp	Ancient_Greek	μέμαα_xcomp	28	0.607142857143	0.665468057054
xcomp	xcomp	Ancient_Greek	μανθάνω_xcomp	28	0.857142857143	0.665468057054
xcomp	xcomp	Ancient_Greek	ἀνήρ_xcomp	27	0.703703703704	0.665468057054
xcomp	xcomp	Ancient_Greek	ἀναγκάζω_xcomp	27	0.777777777778	0.665468057054
xcomp	xcomp	Ancient_Greek	ἐπίσταμαι_xcomp	27	0.777777777778	0.665468057054
xcomp	xcomp	Ancient_Greek	ἵημι_xcomp	26	0.846153846154	0.665468057054
xcomp	xcomp	Ancient_Greek	κρίνω_xcomp	26	0.615384615385	0.665468057054
xcomp	xcomp	Ancient_Greek	ἀφίημι_xcomp	26	0.730769230769	0.665468057054
xcomp	xcomp	Ancient_Greek	ἕ_xcomp	26	0.961538461538	0.665468057054
xcomp	xcomp	Ancient_Greek	ἔθω_xcomp	25	0.96	0.665468057054
xcomp	xcomp	Ancient_Greek	ἀξιόω_xcomp	25	0.96	0.665468057054
xcomp	xcomp	Ancient_Greek	Τρώς_xcomp	25	0.84	0.665468057054
xcomp	xcomp	Ancient_Greek	μιν_xcomp	25	0.96	0.665468057054
xcomp	xcomp	Ancient_Greek	ὁρμάω_xcomp	25	0.76	0.665468057054
xcomp	xcomp	Ancient_Greek	πείθω_xcomp	24	0.875	0.665468057054
xcomp	xcomp	Ancient_Greek	γιγνώσκω_xcomp	24	0.708333333333	0.665468057054
xcomp	xcomp	Ancient_Greek	παρακαλέω_xcomp	23	0.913043478261	0.665468057054
xcomp	xcomp	Ancient_Greek	παραγγέλλω_xcomp	22	0.954545454545	0.665468057054
xcomp	xcomp	Ancient_Greek	οὗτος_xcomp	21	0.52380952381	0.665468057054
xcomp	xcomp	Ancient_Greek	αἱρέω_xcomp	21	0.380952380952	0.665468057054
xcomp	xcomp	Ancient_Greek	ἔοικα_xcomp	20	0.5	0.665468057054
xcomp	xcomp	Ancient_Greek	ἔλπω_xcomp	20	0.9	0.665468057054
xcomp	xcomp	Ancient_Greek	ἄνωγα_xcomp	20	0.6	0.665468057054
xcomp	xcomp	Ancient_Greek	ἐλπίζω_xcomp	20	1.0	0.665468057054
xcomp	xcomp	Ancient_Greek	παύω_xcomp	19	0.894736842105	0.665468057054
xcomp	xcomp	Ancient_Greek	πυνθάνομαι_xcomp	19	0.684210526316	0.665468057054
xcomp	xcomp	Ancient_Greek	Ἕκτωρ_xcomp	19	0.684210526316	0.665468057054
xcomp	xcomp	Ancient_Greek	δέω#2_xcomp	18	1.0	0.665468057054
xcomp	xcomp	Ancient_Greek	ἀποδείκνυμι_xcomp	18	0.166666666667	0.665468057054
xcomp	xcomp	Ancient_Greek	αὐτός_xcomp	18	0.833333333333	0.665468057054
