Language	FileName	Counter	DH_Weight	Dependency	DistanceWeight
Hebrew	3400921	200000	-6.076446	acl	5.056735
Hebrew	3400921	200000	-5.0256224	advcl	4.9998384
Hebrew	3400921	200000	-2.777331	advmod	-5.4583373
Hebrew	3400921	200000	-3.3584054	amod	-1.3024039
Hebrew	3400921	200000	-2.9085038	appos	1.8567871
Hebrew	3400921	200000	0.9666624	aux	-3.7442656
Hebrew	3400921	200000	-0.07033732	case	0.021005757
Hebrew	3400921	200000	-0.47438145	cc	-0.6270946
Hebrew	3400921	200000	-5.193924	ccomp	3.3456755
Hebrew	3400921	200000	-5.37271	compound	-2.083158
Hebrew	3400921	200000	-5.988658	conj	6.4393444
Hebrew	3400921	200000	-0.3356636	csubj	0.0077339155
Hebrew	3400921	200000	-2.7762127	dep	-0.7873852
Hebrew	3400921	200000	-5.394886	det	-5.719975
Hebrew	3400921	200000	-0.103633955	dislocated	0.05993719
Hebrew	3400921	200000	-0.34537756	fixed	-1.8041592
Hebrew	3400921	200000	-2.9496052	flat	-1.7433442
Hebrew	3400921	200000	-0.031805996	goeswith	-0.059682213
Hebrew	3400921	200000	-5.9849052	iobj	1.2541813
Hebrew	3400921	200000	-7.916655	lifted_case	1.9060035
Hebrew	3400921	200000	-6.359653	lifted_cc	-0.02472847
Hebrew	3400921	200000	-4.099381	lifted_cop	0.0
Hebrew	3400921	200000	-6.902105	lifted_mark	0.0
Hebrew	3400921	200000	-6.1402974	nmod	2.323833
Hebrew	3400921	200000	5.3935456	nsubj	-0.3699891
Hebrew	3400921	200000	-0.88999397	nummod	-2.952376
Hebrew	3400921	200000	-5.709092	obj	-2.6512673
Hebrew	3400921	200000	-6.2530966	obl	-0.2878496
Hebrew	3400921	200000	-1.7432005	parataxis	-0.22906318
Hebrew	3400921	200000	0.0	punct	0.0
Hebrew	3400921	200000	-5.460895	xcomp	2.574347
Slovenian	9215013	200000	-1.8460588	acl	1.0654002
Slovenian	9215013	200000	-0.9150433	advcl	1.5607634
Slovenian	9215013	200000	0.32763132	advmod	-2.6987696
Slovenian	9215013	200000	-1.1992607	amod	-1.3826269
Slovenian	9215013	200000	-0.14155124	appos	0.14722411
Slovenian	9215013	200000	0.39786842	aux	-2.814135
Slovenian	9215013	200000	-0.0038333405	case	0.0
Slovenian	9215013	200000	-1.2464359	ccomp	1.1611545
Slovenian	9215013	200000	-1.7600408	conj	2.2653744
Slovenian	9215013	200000	-0.56329733	csubj	0.45979857
Slovenian	9215013	200000	0.012989424	dep	-0.0147536425
Slovenian	9215013	200000	-0.15557307	det	-0.43934545
Slovenian	9215013	200000	0.15633805	discourse	-0.40138435
Slovenian	9215013	200000	-0.0030845103	dislocated	0.012187142
Slovenian	9215013	200000	0.2976399	expl	-1.3246611
Slovenian	9215013	200000	0.13968675	fixed	-0.36841592
Slovenian	9215013	200000	-0.0041231583	flat	-0.08910812
Slovenian	9215013	200000	0.0013220282	goeswith	0.0
Slovenian	9215013	200000	0.09728542	iobj	-0.44404417
Slovenian	9215013	200000	-3.3941019	lifted_case	0.02012587
Slovenian	9215013	200000	-2.2780902	lifted_cc	0.10991532
Slovenian	9215013	200000	-1.8253115	lifted_cop	0.0073521393
Slovenian	9215013	200000	-2.495003	lifted_mark	0.2662394
Slovenian	9215013	200000	-2.774166	nmod	0.38467643
Slovenian	9215013	200000	-0.037119683	nsubj	-0.63842636
Slovenian	9215013	200000	-0.14615881	nummod	-0.19657442
Slovenian	9215013	200000	-0.8319771	obj	-0.1069761
Slovenian	9215013	200000	-2.6540613	obl	0.8146692
Slovenian	9215013	200000	-0.015342977	orphan	-0.009088082
Slovenian	9215013	200000	-0.05772242	parataxis	1.9873365
Slovenian	9215013	200000	0.0	punct	0.0
Slovenian	9215013	200000	-0.029527834	reparandum	-0.035630938
Slovenian	9215013	200000	0.04216322	vocative	-0.04903969
Slovenian	9215013	200000	-0.7060588	xcomp	0.7508067
Korean	5564821	200000	-2.937398	acl	0.93549985
Korean	5564821	200000	-1.1784661	advcl	0.75103587
Korean	5564821	200000	0.6323769	advmod	-1.677941
Korean	5564821	200000	-1.115881	amod	-0.3831788
Korean	5564821	200000	-0.035541154	appos	-0.05238154
Korean	5564821	200000	1.0256832	aux	-2.612949
Korean	5564821	200000	0.00217696	cc	-0.0010919053
Korean	5564821	200000	-1.2032611	ccomp	2.168047
Korean	5564821	200000	-1.7166598	compound	-0.45758992
Korean	5564821	200000	-1.2886695	conj	2.4310071
Korean	5564821	200000	-0.0893124	csubj	0.015642473
Korean	5564821	200000	-0.5361557	dep	-0.04095634
Korean	5564821	200000	-0.32361984	det	-0.043474365
