"","Language","Model","Type","Direction","Group","Surp","FullSurp","UAS","Pars","Efficiency"
"1","Afrikaans",2869394950,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",6.25948639901809,8.80534100830492,0.852745424293,0.745429028067335,6.37896678718362
"2","Afrikaans",1658885477,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",6.44226702547993,8.97166004791486,0.865848585691,0.683818720243933,6.48185904317587
"3","Ancient_Greek",542477161,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP4",7.33584606858624,10.4451484441536,0.780421461665,1.01347859397168,7.61574005569929
"4","Ancient_Greek",2464717213,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",7.21725389288484,10.2694616046455,0.834763114632,0.91312782225668,7.40865632585303
"5","Arabic",6427878818,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",6.94284149204,10.1014043556609,0.82147481514,0.886168678169984,7.13472602100598
"6","Arabic",9788252482,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP3",6.95421055663245,9.90329383318714,0.815278922193,0.877445657760545,7.13623515872975
"7","Basque",657083143,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",8.24139853678464,8.24141816403747,0.76649618933,1.13990070190575,8.55715938501192
"8","Basque",6601537573,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.23943352591181,8.23945296659878,0.791265543522,1.08036791676386,8.49585809008448
"9","Belarusian",7359258414,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP3",8.88720730627058,11.2145190251086,0.677394034537,1.70640620855933,9.70489278420286
"10","Belarusian",1452304414,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",8.85100202480284,11.0353853049398,0.691522762951,1.65299949092057,9.61890131324312
"11","Bulgarian",1170573905,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",7.18886280656164,10.3981364927734,0.88135348131,0.543272135409588,7.01324866131507
"12","Bulgarian",6688858397,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP4",7.19338391737127,10.365802057466,0.891475670595,0.510678506334505,6.98472403196865
"13","Catalan",7875549067,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",5.82490431929381,7.3460486528092,0.862371457728,0.579467035780892,5.82188092314532
"14","Catalan",5306277338,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",5.78519737175072,7.32040718256982,0.87006436926,0.54952149398567,5.75619912856132
"15","Chinese",4863208342,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.71328048600967,9.68145719340791,0.772359963269,1.2305317207473,8.172484158156
"16","Chinese",2045095097,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP2",7.72077719458097,9.63305283363419,0.781818181818,1.20579535448847,8.15449482961134
"17","Coptic",2061526880,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP1",4.88800387123234,6.58762663306919,0.811710677382,0.9534929217482,5.35269640585731
"18","Coptic",6041088033,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",4.87762219436879,6.45789539575296,0.832376578645,0.93075535354877,5.32061532848068
"19","Croatian",8107510327,"manual_output_funchead_two_coarse_lambda09_best_large","OV","GROUP2",7.85221590972539,7.85223636224205,0.827722312515,0.837487891163031,7.90448220991588
"20","Croatian",3321068676,"manual_output_funchead_two_coarse_lambda09_best_large","VO","GROUP1",7.73341512432797,7.73343164582581,0.81433325594,0.868104558012801,7.82817816990797
